review_id,review_title,review_text,review_date,hotel_id,hotel_name,service_ratings,cleanliness_ratings,overall_ratings,value_ratings,rooms_ratings,location_ratings,date_stayed,num_helpful_votes,via_mobile,hotel_class,region_id,hotel_address
116171576,Nice room and price but has Bedbugs,"This is the second time I have used this hotel and booked this last time because of the perceived value.
Room is updated and staff is great ...but woke this morning to bedbugs. I travel alot for work and this is the first time I have seen these in person.
 Staff went right after the room but... They are present :( so beware upon checking into the room.",8/2/2011,108038,Hilton University of Houston,4,1,3,4,4,3,8/11/2025,0,TRUE,3.5,56003,"{'region': 'TX', 'street-address': '4800 Calhoun Rd', 'postal-code': '77004', 'locality': 'Houston'}"
100769680,Stay here often. Always a pleasure.,Stay frequently for business. The staff goes out of their way to make sure you are well looked after. My home away from home.,3/19/2011,1158926,Hilton Garden Inn Houston Energy Corridor,5,5,5,4,5,5,3/11/2025,0,TRUE,3,56003,"{'region': 'TX', 'street-address': '12245 Katy Freeway', 'postal-code': '77079', 'locality': 'Houston'}"
114673942,Excellent service!!! and a great hotel.,Service is excellent!!! it's the most important thing to me. Kudos to all the staffs... you guys are doing great job. You can't go wrong with the location - trust me. Room is great and the television is BIG! I didn't have to press any button in the elevator coz they'll do it for you - and they know what your floor is! I can't ask for more...,6/23/2011,93559,The Sherry-Netherland Hotel,5,5,5,5,5,5,6/11/2025,0,TRUE,4.5,60763,"{'region': 'NY', 'street-address': '781 Fifth Avenue', 'postal-code': '10022', 'locality': 'New York City'}"
122132994,Convenience and class,"San Carlos is a find. Located in a quiet neighborhood convenient to Grand Central and subway. Wonderful diner across the street. The staff is well trained and strives to please. Our suite was roomy and comfortable. Only complaint, the free breakfast pastry dry and would like fresh fruit.",12/27/2011,80112,San Carlos Hotel,5,4,5,4,4,4,12/11/2025,1,TRUE,4,60763,"{'region': 'NY', 'street-address': '150 East 50th Street', 'postal-code': '10022', 'locality': 'New York City'}"
121933595,Excellent!,My family absolutely enjoyed our stay at San Carlos. Cleanliness was supreme and the one bedroom suite was spacious. The mini kitchenette was fabulous especially traveling with an infant and a child who has food allergies. We will be staying there again next year for our December trip.,12/20/2011,80112,San Carlos Hotel,5,5,5,5,5,5,12/11/2025,2,TRUE,4,60763,"{'region': 'NY', 'street-address': '150 East 50th Street', 'postal-code': '10022', 'locality': 'New York City'}"
121562303,"Nothing special, but a decent value for NYC during the holidays.","Like many hotels in NYC this one is an updated, but an old one with all the issues that would normally accompany one (poor lighting, plumbing tha rattles, small bathroom, etc). 
While i had a ""courtyard"" view (really just a brick wall 10 feet away from the window) there was none of the street noise that bothered others on the other side of the hotel. 
Finally - the 'free' breakfast leaves a lot to be desired, but at least the coffee is okay.",12/9/2011,80112,San Carlos Hotel,3,3,3,4,3,3,12/11/2025,0,TRUE,4,60763,"{'region': 'NY', 'street-address': '150 East 50th Street', 'postal-code': '10022', 'locality': 'New York City'}"
120090341,"Great locate, good value.","This hotel is within walking distance of many attractions in Manhattan: the United Nations, Times Square, MOMA, etc. We had a suite and it was very nice. New York is an expensive city and other, more famous hotels were charging much more for the same thing.
We did not eat in the restaurant as there was a good deli across the street and, of course, many restaurants nearby, but they do have a breakfast available.
 All in all, a good find.",11/2/2011,80112,San Carlos Hotel,4,5,5,5,5,5,5/11/2025,0,TRUE,4,60763,"{'region': 'NY', 'street-address': '150 East 50th Street', 'postal-code': '10022', 'locality': 'New York City'}"
115172110,Great Time!,This hotel is awesome! From the looks to the rooms. We stayed in a balcony suite which was great... very spacious clean...The only thing is the view isn't the best but to me it didn't really matter cause the room was great. There is a skywalk to the mall which is convenient. Overall stay is much better than the Westin galleria. Will be coming back!,7/8/2011,1966350,The Westin Houston Memorial City,4,5,5,5,5,5,7/11/2025,2,TRUE,4,56003,"{'region': 'TX', 'street-address': '945 Gessner Road', 'postal-code': '77024', 'locality': 'Houston'}"
121680221,Must Go!,"Room was awesome! Super clean! Love the wood floors and only carpet near bed. Great for allergies! I always wonder if the carpeted hotel rooms have dirt or God knows what else that hasn't been properly cleaned. I only wish they had a way to play music like an iPod station, etc. Also, the food could be better. Our breakfast arrived cold. The dessert selection wasn't great. I couldn't believe they didn't have hot chocolate or even 24 hour room service. Overall, I would return in a heartbeat.",12/12/2011,1200103,Hotel Sorella CITYCENTRE,5,5,5,4,5,5,12/11/2025,0,TRUE,4,56003,"{'region': 'TX', 'street-address': '800 Sorella Court', 'postal-code': '77024', 'locality': 'Houston'}"
120573068,"Convenient, but loud","This place is great during the week, but stay away on the weekend.
They book a lot of weddings, and it is extremely loud.
Do not stay on the courtyard side of the hotel on the weekend - unless you are out until after the bands stop playing in the bars - around 3AM.
A very nice hotel - but definitely missing something at this price point. 
FYI - I travel a great deal for business (3 months a year) and would not recommend this hotel if you plan on staying over the weekend.",11/14/2011,1200103,Hotel Sorella CITYCENTRE,4,5,3,2,4,5,11/11/2025,0,TRUE,4,56003,"{'region': 'TX', 'street-address': '800 Sorella Court', 'postal-code': '77024', 'locality': 'Houston'}"
